From,To,From_FIPS,To_FIPS
0,1,6001,6005
0,2,6001,6007
0,5,6001,6013
0,12,6001,6027
0,17,6001,6037
0,19,6001,6041
0,25,6001,6053
0,26,6001,6055
0,28,6001,6059
0,32,6001,6067
0,35,6001,6073
0,36,6001,6075
0,38,6001,6079
0,39,6001,6081
0,40,6001,6083
0,41,6001,6085
0,42,6001,6087
0,45,6001,6095
0,46,6001,6097
0,52,6001,6111
0,53,6001,6113
1,2,6005,6007
1,5,6005,6013
1,12,6005,6027
1,16,6005,6035
1,20,6005,6043
1,25,6005,6053
1,26,6005,6055
1,28,6005,6059
1,31,6005,6065
1,32,6005,6067
1,35,6005,6073
1,38,6005,6079
1,40,6005,6083
1,41,6005,6085
1,42,6005,6087
1,43,6005,6089
1,45,6005,6095
1,46,6005,6097
1,51,6005,6109
1,52,6005,6111
1,53,6005,6113
2,6,6007,6015
2,8,6007,6019
2,10,6007,6023
2,12,6007,6027
2,13,6007,6029
2,14,6007,6031
2,16,6007,6035
2,17,6007,6037
2,18,6007,6039
2,20,6007,6043
2,22,6007,6047
2,23,6007,6049
2,25,6007,6053
2,26,6007,6055
2,31,6007,6065
2,32,6007,6067
2,34,6007,6071
2,35,6007,6073
2,37,6007,6077
2,40,6007,6083
2,42,6007,6087
2,43,6007,6089
2,44,6007,6093
2,45,6007,6095
2,47,6007,6099
2,51,6007,6109
2,53,6007,6113
2,54,6007,6115
3,7,6009,6017
3,27,6009,6057
3,30,6009,6063
3,33,6009,6069
4,8,6011,6019
4,9,6011,6021
4,13,6011,6029
4,15,6011,6033
4,18,6011,6039
4,21,6011,6045
4,22,6011,6047
4,23,6011,6049
4,25,6011,6053
4,31,6011,6065
4,32,6011,6067
4,34,6011,6071
4,37,6011,6077
4,44,6011,6093
4,47,6011,6099
4,48,6011,6103
4,49,6011,6105
4,50,6011,6107
4,54,6011,6115
5,7,6013,6017
5,12,6013,6027
5,19,6013,6041
5,24,6013,6051
5,26,6013,6055
5,27,6013,6057
5,28,6013,6059
5,29,6013,6061
5,32,6013,6067
5,33,6013,6069
5,35,6013,6073
5,36,6013,6075
5,38,6013,6079
5,39,6013,6081
5,41,6013,6085
5,42,6013,6087
5,45,6013,6095
5,46,6013,6097
5,51,6013,6109
5,52,6013,6111
6,8,6015,6019
6,10,6015,6023
6,11,6015,6025
6,13,6015,6029
6,14,6015,6031
6,15,6015,6033
6,18,6015,6039
6,21,6015,6045
6,22,6015,6047
6,23,6015,6049
6,34,6015,6071
6,37,6015,6077
6,43,6015,6089
6,44,6015,6093
6,48,6015,6103
6,50,6015,6107
6,54,6015,6115
7,19,6017,6041
7,24,6017,6051
7,27,6017,6057
7,28,6017,6059
7,29,6017,6061
7,30,6017,6063
7,38,6017,6079
7,39,6017,6081
7,41,6017,6085
7,46,6017,6097
7,52,6017,6111
8,9,6019,6021
8,10,6019,6023
8,11,6019,6025
8,13,6019,6029
8,14,6019,6031
8,15,6019,6033
8,18,6019,6039
8,21,6019,6045
8,22,6019,6047
8,23,6019,6049
8,25,6019,6053
8,34,6019,6071
8,37,6019,6077
8,44,6019,6093
8,47,6019,6099
8,48,6019,6103
8,50,6019,6107
8,54,6019,6115
9,13,6021,6029
9,14,6021,6031
9,15,6021,6033
9,18,6021,6039
9,22,6021,6047
9,23,6021,6049
9,37,6021,6077
9,47,6021,6099
9,48,6021,6103
9,49,6021,6105
9,50,6021,6107
9,54,6021,6115
10,12,6023,6027
10,16,6023,6035
10,17,6023,6037
10,21,6023,6045
10,23,6023,6049
10,25,6023,6053
10,31,6023,6065
10,32,6023,6067
10,34,6023,6071
10,35,6023,6073
10,40,6023,6083
10,42,6023,6087
10,43,6023,6089
10,44,6023,6093
10,51,6023,6109
10,53,6023,6113
11,13,6025,6029
11,14,6025,6031
11,15,6025,6033
11,18,6025,6039
11,21,6025,6045
11,22,6025,6047
11,37,6025,6077
11,48,6025,6103
11,50,6025,6107
11,54,6025,6115
12,16,6027,6035
12,17,6027,6037
12,19,6027,6041
12,25,6027,6053
12,26,6027,6055
12,28,6027,6059
12,31,6027,6065
12,32,6027,6067
12,35,6027,6073
12,36,6027,6075
12,38,6027,6079
12,39,6027,6081
12,40,6027,6083
12,41,6027,6085
12,42,6027,6087
12,43,6027,6089
12,44,6027,6093
12,45,6027,6095
12,46,6027,6097
12,51,6027,6109
12,52,6027,6111
12,53,6027,6113
13,14,6029,6031
13,15,6029,6033
13,18,6029,6039
13,21,6029,6045
13,22,6029,6047
13,23,6029,6049
13,25,6029,6053
13,31,6029,6065
13,34,6029,6071
13,37,6029,6077
13,47,6029,6099
13,48,6029,6103
13,50,6029,6107
13,54,6029,6115
14,15,6031,6033
14,18,6031,6039
14,21,6031,6045
14,22,6031,6047
14,23,6031,6049
14,25,6031,6053
14,31,6031,6065
14,32,6031,6067
14,34,6031,6071
14,37,6031,6077
14,44,6031,6093
14,47,6031,6099
14,48,6031,6103
14,50,6031,6107
14,54,6031,6115
15,18,6033,6039
15,21,6033,6045
15,22,6033,6047
15,23,6033,6049
15,34,6033,6071
15,37,6033,6077
15,44,6033,6093
15,47,6033,6099
15,48,6033,6103
15,49,6033,6105
15,50,6033,6107
15,54,6033,6115
16,17,6035,6037
16,20,6035,6043
16,23,6035,6049
16,25,6035,6053
16,26,6035,6055
16,28,6035,6059
16,31,6035,6065
16,32,6035,6067
16,34,6035,6071
16,35,6035,6073
16,37,6035,6077
16,40,6035,6083
16,42,6035,6087
16,45,6035,6095
16,46,6035,6097
16,51,6035,6109
16,52,6035,6111
16,53,6035,6113
17,25,6037,6053
17,26,6037,6055
17,31,6037,6065
17,32,6037,6067
17,34,6037,6071
17,35,6037,6073
17,36,6037,6075
17,37,6037,6077
17,40,6037,6083
17,42,6037,6087
17,53,6037,6113
18,21,6039,6045
18,22,6039,6047
18,23,6039,6049
18,25,6039,6053
18,31,6039,6065
18,32,6039,6067
18,34,6039,6071
18,37,6039,6077
18,44,6039,6093
18,47,6039,6099
18,48,6039,6103
18,50,6039,6107
18,54,6039,6115
19,24,6041,6051
19,26,6041,6055
19,27,6041,6057
19,28,6041,6059
19,29,6041,6061
