From,To,From_FIPS,To_FIPS
0,1,42001,42003
0,3,42001,42007
0,8,42001,42017
0,11,42001,42025
0,13,42001,42029
0,17,42001,42037
0,19,42001,42041
0,41,42001,42089
0,42,42001,42091
0,44,42001,42095
0,50,42001,42115
0,57,42001,42129
0,58,42001,42131
0,59,42001,42133
1,3,42003,42007
1,8,42003,42017
1,9,42003,42019
1,12,42003,42027
1,13,42003,42029
1,17,42003,42037
1,19,42003,42041
1,20,42003,42043
1,21,42003,42045
1,32,42003,42071
1,37,42003,42081
1,42,42003,42091
1,43,42003,42093
1,44,42003,42095
1,55,42003,42125
1,57,42003,42129
1,59,42003,42133
2,3,42005,42007
2,4,42005,42009
2,6,42005,42013
2,7,42005,42015
2,10,42005,42021
2,11,42005,42025
2,17,42005,42037
2,22,42005,42047
2,25,42005,42055
2,26,42005,42057
2,28,42005,42061
2,30,42005,42065
2,33,42005,42073
2,37,42005,42081
2,47,42005,42105
2,48,42005,42107
2,49,42005,42111
2,50,42005,42115
2,51,42005,42117
2,53,42005,42121
2,54,42005,42123
2,56,42005,42127
2,57,42005,42129
2,58,42005,42131
3,4,42007,42009
3,6,42007,42013
3,7,42007,42015
3,9,42007,42019
3,11,42007,42025
3,17,42007,42037
3,19,42007,42041
3,21,42007,42045
3,22,42007,42047
3,25,42007,42055
3,27,42007,42059
3,28,42007,42061
3,30,42007,42065
3,31,42007,42069
3,33,42007,42073
3,37,42007,42081
3,43,42007,42093
3,44,42007,42095
3,48,42007,42107
3,50,42007,42115
3,51,42007,42117
3,54,42007,42123
3,55,42007,42125
3,56,42007,42127
3,57,42007,42129
3,58,42007,42131
3,59,42007,42133
4,6,42009,42013
4,7,42009,42015
4,10,42009,42021
4,11,42009,42025
4,17,42009,42037
4,22,42009,42047
4,25,42009,42055
4,26,42009,42057
4,28,42009,42061
4,30,42009,42065
4,33,42009,42073
4,37,42009,42081
4,47,42009,42105
4,48,42009,42107
4,49,42009,42111
4,50,42009,42115
4,51,42009,42117
4,53,42009,42121
4,54,42009,42123
4,56,42009,42127
4,58,42009,42131
5,15,42011,42033
5,20,42011,42043
5,21,42011,42045
5,23,42011,42049
5,31,42011,42069
5,32,42011,42071
5,34,42011,42075
5,35,42011,42077
5,36,42011,42079
5,48,42011,42107
5,59,42011,42133
6,7,42013,42015
6,10,42013,42021
6,14,42013,42031
6,15,42013,42033
6,17,42013,42037
6,18,42013,42039
6,23,42013,42049
6,24,42013,42051
6,25,42013,42055
6,27,42013,42059
6,28,42013,42061
6,30,42013,42065
6,31,42013,42069
6,33,42013,42073
6,34,42013,42075
6,37,42013,42081
6,38,42013,42083
6,39,42013,42085
6,40,42013,42087
6,43,42013,42093
6,45,42013,42097
6,47,42013,42105
6,48,42013,42107
6,49,42013,42111
6,51,42013,42117
6,53,42013,42121
6,54,42013,42123
6,56,42013,42127
7,10,42015,42021
7,18,42015,42039
7,22,42015,42047
7,24,42015,42051
7,25,42015,42055
7,27,42015,42059
7,28,42015,42061
7,30,42015,42065
7,33,42015,42073
7,37,42015,42081
7,38,42015,42083
7,39,42015,42085
7,40,42015,42087
7,43,42015,42093
7,45,42015,42097
7,47,42015,42105
7,48,42015,42107
7,51,42015,42117
7,53,42015,42121
7,54,42015,42123
8,13,42017,42029
8,19,42017,42041
8,42,42017,42091
8,44,42017,42095
8,55,42017,42125
8,57,42017,42129
8,59,42017,42133
9,19,42019,42041
9,55,42019,42125
9,57,42019,42129
9,58,42019,42131
10,14,42021,42031
10,15,42021,42033
10,18,42021,42039
10,23,42021,42049
10,24,42021,42051
10,25,42021,42055
10,27,42021,42059
10,28,42021,42061
10,30,42021,42065
10,31,42021,42069
10,33,42021,42073
10,34,42021,42075
10,36,42021,42079
10,37,42021,42081
10,38,42021,42083
10,39,42021,42085
10,40,42021,42087
10,45,42021,42097
10,47,42021,42105
10,48,42021,42107
10,49,42021,42111
10,51,42021,42117
10,53,42021,42121
10,54,42021,42123
11,17,42025,42037
11,25,42025,42055
11,26,42025,42057
11,30,42025,42065
11,41,42025,42089
11,48,42025,42107
11,50,42025,42115
11,53,42025,42121
11,54,42025,42123
11,56,42025,42127
11,58,42025,42131
11,59,42025,42133
12,17,42027,42037
12,21,42027,42045
12,27,42027,42059
12,29,42027,42063
12,32,42027,42071
12,52,42027,42119
13,19,42029,42041
13,42,42029,42091
13,44,42029,42095
13,55,42029,42125
13,59,42029,42133
14,15,42031,42033
14,16,42031,42035
14,17,42031,42037
14,18,42031,42039
14,24,42031,42051
14,27,42031,42059
14,28,42031,42061
14,29,42031,42063
14,30,42031,42065
14,32,42031,42071
14,37,42031,42081
14,38,42031,42083
14,39,42031,42085
14,45,42031,42097
14,48,42031,42107
14,49,42031,42111
14,51,42031,42117
14,52,42031,42119
15,16,42033,42035
15,17,42033,42037
15,18,42033,42039
15,23,42033,42049
15,24,42033,42051
15,27,42033,42059
15,28,42033,42061
15,29,42033,42063
15,30,42033,42065
15,31,42033,42069
15,33,42033,42073
15,34,42033,42075
15,36,42033,42079
15,37,42033,42081
15,38,42033,42083
15,39,42033,42085
15,45,42033,42097
15,47,42033,42105
15,48,42033,42107
15,49,42033,42111
15,51,42033,42117
16,17,42035,42037
16,18,42035,42039
16,24,42035,42051
16,27,42035,42059
16,28,42035,42061
16,29,42035,42063
16,30,42035,42065
16,37,42035,42081
16,38,42035,42083
16,45,42035,42097
16,48,42035,42107
16,49,42035,42111
16,52,42035,42119
17,22,42037,42047
17,27,42037,42059
17,28,42037,42061
17,29,42037,42063
17,30,42037,42065
17,37,42037,42081
17,44,42037,42095
17,48,42037,42107
17,49,42037,42111
17,51,42037,42117
17,52,42037,42119
17,54,42037,42123
17,55,42037,42125
17,56,42037,42127
17,57,42037,42129
17,58,42037,42131
17,59,42037,42133
18,23,42039,42049
18,24,42039,42051
18,27,42039,42059
18,28,42039,42061
18,30,42039,42065
18,31,42039,42069
18,33,42039,42073
18,37,42039,42081
18,38,42039,42083
18,39,42039,42085
18,40,42039,42087
18,43,42039,42093
18,45,42039,42097
18,47,42039,42105
18,48,42039,42107
18,49,42039,42111
18,51,42039,42117
18,53,42039,42121
19,21,42041,42045
19,42,42041,42091
19,44,42041,42095
19,55,42041,42125
19,57,42041,42129
19,59,42041,42133
20,21,42043,42045
20,23,42043,42049
20,25,42043,42055
20,28,42043,42061
20,31,42043,42069
20,32,42043,42071
20,34,42043,42075
20,35,42043,42077
20,36,42043,42079
20,37,42043,42081
20,44,42043,42095
20,59,42043,42133
21,23,42045,42049
21,31,42045,42069
21,32,42045,42071
21,34,42045,42075
21,35,42045,42077
21,42,42045,42091
21,43,42045,42093
21,44,42045,42095
21,59,42045,42133
22,25,42047,42055
22,50,42047,42115
22,51,42047,42117
22,54,42047,42123
22,55,42047,42125
22,56,42047,42127
22,57,42047,42129
22,58,42047,42131
23,24,42049,42051
23,27,42049,42059
23,28,42049,42061
23,31,42049,42069
23,32,42049,42071
